step,elapsed_sec,steps_per_sec,loss_q1,loss_q2,loss_actor,loss_bc,alpha,reward_batch_mean,q_pi_mean,policy_l2_mean,policy_l2_min,policy_l2_max,clip_frac_at_1,policy_a0_mean,policy_a1_mean,policy_a2_mean,action_mse,eval_policy_l2_mean
1,0.436,2.2925,0.22888544,0.30994135,0.73030877,0.20106672,0.19997999,-0.13012958,-0.09712483,0.53344697,0.08059717,1.25728953,0.0,-0.00172739,-0.03093601,-0.01061637,nan,nan
50,1.046,47.808,0.08324457,0.10950895,0.63782048,0.14296703,0.19900945,-0.14470722,-0.18644324,0.5100776,0.08744632,1.01836264,0.0,-0.02767405,0.00036526,0.08089073,nan,nan
100,1.854,53.945,0.06227633,0.07127761,0.53750026,0.10538968,0.19806859,-0.11814487,-0.20289412,0.57046634,0.05156242,1.26422882,0.0,0.01658743,0.00072111,0.10374941,nan,nan
150,2.464,60.8708,0.07184079,0.07229477,0.50535285,0.08092941,0.19715522,-0.10427451,-0.22836503,0.57769227,0.07728773,1.28507316,0.0,-0.00761748,0.0048025,0.06066529,nan,nan
200,3.011,66.4274,0.08043306,0.07930071,0.61525488,0.08165248,0.19624159,-0.15103543,-0.32708687,0.59446162,0.04614737,1.3012656,0.0,-0.02774502,-0.03258435,0.07033516,nan,nan
250,3.577,69.8967,0.09876174,0.10062473,0.63323843,0.08045707,0.19532125,-0.15025899,-0.35267466,0.58908522,0.04607597,1.40652406,0.0,-0.02257131,0.01555094,0.04052716,nan,nan
300,4.117,72.8599,0.09616346,0.09825048,0.6146903,0.08099713,0.19439638,-0.12790829,-0.33564836,0.58731019,0.09125336,1.49121392,0.0,-0.02962154,-0.01665134,0.05307594,nan,nan
350,4.663,75.0664,0.12767927,0.13070476,0.63260961,0.07265878,0.19347453,-0.12434711,-0.35266125,0.58587402,0.08394321,1.28239095,0.0,-0.03071067,0.00090254,0.03351878,nan,nan
400,5.2,76.921,0.11386553,0.11278627,0.70698482,0.07756825,0.19255057,-0.12937582,-0.4145993,0.57750881,0.02040432,1.25027907,0.0,-0.02497449,-0.01187737,0.05214634,nan,nan
450,5.748,78.2877,0.11021249,0.11111111,0.68514895,0.07563387,0.19163422,-0.11796407,-0.41372594,0.58013213,0.0920643,1.26910377,0.0,0.0152854,-0.01068188,0.00981046,nan,nan
500,6.286,79.5427,0.1326158,0.13364403,0.72553611,0.07984893,0.1907199,-0.13281597,-0.44408929,0.57444471,0.05579714,1.35361207,0.0,-0.01135274,-0.0128688,0.03320787,nan,nan
550,6.834,80.4757,0.16381015,0.16482158,0.6857444,0.07117147,0.18980721,-0.09978098,-0.40765157,0.5675844,0.06827036,1.28264391,0.0,-0.00751853,-0.00798123,0.02686182,nan,nan
600,7.417,80.8983,0.22874323,0.22886822,0.67966706,0.07351745,0.18889959,-0.10103159,-0.40311134,0.5727542,0.10271455,1.265993,0.0,-0.01443836,0.00295091,0.0340859,nan,nan
650,8.001,81.2436,0.18910293,0.18991105,0.8161273,0.0691165,0.18799844,-0.12401529,-0.54380703,0.55640352,0.03729757,1.34244859,0.0,-0.05300711,0.001462,0.07166,nan,nan
700,8.726,80.2161,0.27213621,0.2762571,0.73243344,0.06835634,0.18710005,-0.10935958,-0.46862322,0.5597803,0.03897312,1.31152725,0.0,-0.01823022,-0.00903209,0.06476252,nan,nan
750,9.4,79.7914,0.27526686,0.27959251,1.00388837,0.06811962,0.18620512,-0.15421177,-0.73439431,0.59051323,0.11654754,1.27107835,0.0,-0.0481867,-0.02549664,0.08776496,nan,nan
800,10.015,79.8841,0.30811942,0.30975661,0.89849019,0.06860662,0.18531287,-0.11670273,-0.62263966,0.56930405,0.05937091,1.34414363,0.0,-0.01634471,0.00778734,0.0589285,nan,nan
850,20.565,41.332,0.39255473,0.40365082,1.05666673,0.07026518,0.18442824,-0.16111229,-0.77661616,0.57897127,0.05983635,1.32746601,0.0,-0.06092787,-0.03314902,0.08038145,nan,nan
900,21.14,42.5739,0.32301003,0.32242173,0.94204783,0.06603181,0.18354356,-0.13172027,-0.66756201,0.56104761,0.06350372,1.30795479,0.0,-0.01342016,-0.00269726,0.02745408,nan,nan
